#,Date-Time (EDT),Ch:1 - Temperature   (°C),Started Offset,Button Down,Button Up,Host Connected,End of File
1,6/26/2024 8:51,,Logged,,,,
2,6/26/2024 8:51,21.512,,,,,
3,6/26/2024 8:56,21.758,,,,,
4,6/26/2024 9:01,21.544,,,,,
5,6/26/2024 9:06,21.447,,,,,
6,6/26/2024 9:11,21.405,,,,,
7,6/26/2024 9:16,21.394,,,,,
8,6/26/2024 9:21,21.405,,,,,
9,6/26/2024 9:21,,,Logged,,,
10,6/26/2024 9:21,,,,Logged,,
11,6/26/2024 9:21,,,,,Logged,
12,6/26/2024 9:26,21.372,,,,,
13,6/26/2024 9:31,21.437,,,,,
14,6/26/2024 9:36,21.501,,,,,
15,6/26/2024 9:41,21.598,,,,,
16,6/26/2024 9:46,21.705,,,,,
17,6/26/2024 9:49,,,Logged,,,
18,6/26/2024 9:50,,,,Logged,,
19,6/26/2024 9:50,,,Logged,,,
20,6/26/2024 9:50,,,,Logged,,
21,6/26/2024 9:50,,,Logged,,,
22,6/26/2024 9:50,,,,Logged,,
23,6/26/2024 9:50,,,Logged,,,
24,6/26/2024 9:50,,,,Logged,,
25,6/26/2024 9:51,21.919,,,,,
26,6/26/2024 9:56,22.134,,,,,
27,6/26/2024 10:01,22.295,,,,,
28,6/26/2024 10:06,22.466,,,,,
29,6/26/2024 10:11,22.649,,,,,
30,6/26/2024 10:16,22.831,,,,,
31,6/26/2024 10:21,22.992,,,,,
32,6/26/2024 10:26,23.185,,,,,
33,6/26/2024 10:31,23.389,,,,,
34,6/26/2024 10:36,23.571,,,,,
35,6/26/2024 10:41,23.732,,,,,
36,6/26/2024 10:46,23.828,,,,,
37,6/26/2024 10:51,23.903,,,,,
38,6/26/2024 10:56,23.914,,,,,
39,6/26/2024 11:01,23.871,,,,,
40,6/26/2024 11:06,23.85,,,,,
41,6/26/2024 11:11,23.818,,,,,
42,6/26/2024 11:16,23.796,,,,,
43,6/26/2024 11:21,23.796,,,,,
44,6/26/2024 11:26,23.818,,,,,
45,6/26/2024 11:31,23.85,,,,,
46,6/26/2024 11:36,23.871,,,,,
47,6/26/2024 11:41,23.925,,,,,
48,6/26/2024 11:46,23.968,,,,,
49,6/26/2024 11:51,24.043,,,,,
50,6/26/2024 11:56,24.097,,,,,
51,6/26/2024 12:01,24.129,,,,,
52,6/26/2024 12:06,24.172,,,,,
53,6/26/2024 12:11,24.193,,,,,
54,6/26/2024 12:16,24.214,,,,,
55,6/26/2024 12:21,24.214,,,,,
56,6/26/2024 12:26,24.225,,,,,
57,6/26/2024 12:31,24.247,,,,,
58,6/26/2024 12:36,24.257,,,,,
59,6/26/2024 12:41,24.279,,,,,
60,6/26/2024 12:46,24.268,,,,,
61,6/26/2024 12:51,24.268,,,,,
62,6/26/2024 12:56,24.257,,,,,
63,6/26/2024 13:01,24.225,,,,,
64,6/26/2024 13:06,24.236,,,,,
65,6/26/2024 13:11,24.214,,,,,
66,6/26/2024 13:16,24.193,,,,,
67,6/26/2024 13:21,24.193,,,,,
68,6/26/2024 13:25,,,Logged,,,
69,6/26/2024 13:25,,,,Logged,,
70,6/26/2024 13:25,,,,,Logged,
71,6/26/2024 13:26,23.968,,,,,
72,6/26/2024 13:31,24.225,,,,,
73,6/26/2024 13:36,24.193,,,,,
74,6/26/2024 13:41,24.129,,,,,
75,6/26/2024 13:46,24.118,,,,,
76,6/26/2024 13:51,24.097,,,,,
77,6/26/2024 13:56,24.075,,,,,
78,6/26/2024 14:01,24.043,,,,,
79,6/26/2024 14:06,24.021,,,,,
80,6/26/2024 14:11,23.989,,,,,
81,6/26/2024 14:16,23.957,,,,,
82,6/26/2024 14:21,23.936,,,,,
83,6/26/2024 14:26,23.914,,,,,
84,6/26/2024 14:31,23.882,,,,,
85,6/26/2024 14:36,23.871,,,,,
86,6/26/2024 14:41,23.85,,,,,
87,6/26/2024 14:46,23.818,,,,,
88,6/26/2024 14:51,23.807,,,,,
89,6/26/2024 14:56,23.785,,,,,
90,6/26/2024 15:01,23.775,,,,,
91,6/26/2024 15:06,23.753,,,,,
92,6/26/2024 15:11,23.732,,,,,
93,6/26/2024 15:16,23.721,,,,,
94,6/26/2024 15:21,23.71,,,,,
95,6/26/2024 15:26,23.689,,,,,
96,6/26/2024 15:31,23.678,,,,,
97,6/26/2024 15:36,23.646,,,,,
98,6/26/2024 15:41,23.646,,,,,
99,6/26/2024 15:46,23.646,,,,,
100,6/26/2024 15:51,23.635,,,,,
101,6/26/2024 15:56,23.625,,,,,
102,6/26/2024 16:01,23.625,,,,,
103,6/26/2024 16:06,23.614,,,,,
104,6/26/2024 16:11,23.614,,,,,
105,6/26/2024 16:16,23.614,,,,,
106,6/26/2024 16:21,23.592,,,,,
107,6/26/2024 16:26,23.582,,,,,
108,6/26/2024 16:31,23.582,,,,,
109,6/26/2024 16:36,23.571,,,,,
110,6/26/2024 16:41,23.56,,,,,
111,6/26/2024 16:46,23.56,,,,,
112,6/26/2024 16:51,23.539,,,,,
113,6/26/2024 16:56,23.539,,,,,
114,6/26/2024 17:01,23.528,,,,,
115,6/26/2024 17:06,23.507,,,,,
116,6/26/2024 17:11,23.485,,,,,
117,6/26/2024 17:16,23.474,,,,,
118,6/26/2024 17:21,23.464,,,,,
119,6/26/2024 17:26,23.453,,,,,
120,6/26/2024 17:31,23.442,,,,,
121,6/26/2024 17:36,23.421,,,,,
122,6/26/2024 17:41,23.41,,,,,
123,6/26/2024 17:46,23.389,,,,,
124,6/26/2024 17:51,23.389,,,,,
125,6/26/2024 17:56,23.378,,,,,
126,6/26/2024 18:01,23.367,,,,,
127,6/26/2024 18:06,23.356,,,,,
128,6/26/2024 18:11,23.356,,,,,
129,6/26/2024 18:16,23.335,,,,,
130,6/26/2024 18:21,23.335,,,,,
131,6/26/2024 18:26,23.335,,,,,
132,6/26/2024 18:31,23.314,,,,,
133,6/26/2024 18:36,23.303,,,,,
134,6/26/2024 18:41,23.303,,,,,
