Plate Number,Well ID,Sample Type,Standards,Temperature Number,Tank Number,Volume,Assay Type,Control Volume
1,A1,Blank,0,NA,NA,NA,PEPCK,NA
1,A2,Blank,0,NA,NA,NA,PEPCK,NA
1,A3,Standard,2,NA,NA,NA,PEPCK,NA
1,A4,Standard,2,NA,NA,NA,PEPCK,NA
1,A5,Standard,4,NA,NA,NA,PEPCK,NA
1,A6,Standard,4,NA,NA,NA,PEPCK,NA
1,A7,Standard,6,NA,NA,NA,PEPCK,NA
1,A8,Standard,6,NA,NA,NA,PEPCK,NA
1,A9,Standard,8,NA,NA,NA,PEPCK,NA
1,A10,Standard,8,NA,NA,NA,PEPCK,NA
1,A11,Standard,10,NA,NA,NA,PEPCK,NA
1,A12,Standard,10,NA,NA,NA,PEPCK,NA
1,B1,Positive Control,NA,NA,NA,NA,PEPCK,2
1,B2,Positive Control,NA,NA,NA,NA,PEPCK,5
1,B3,Positive Control,NA,NA,NA,NA,PEPCK,10
1,B4,Sample,NA,1,1,10,PEPCK,NA
1,B5,Sample,NA,1,1,30,PEPCK,NA
1,B6,SBC,NA,1,1,NA,PEPCK,10
1,B7,Sample,NA,1,2,10,PEPCK,NA
1,B8,Sample,NA,1,2,30,PEPCK,NA
1,B9,SBC,NA,1,2,NA,PEPCK,10
1,B10,Sample,NA,1,3,10,PEPCK,NA
1,B11,Sample,NA,1,3,30,PEPCK,NA
1,B12,SBC,NA,1,3,NA,PEPCK,10
1,C1,Sample,NA,1,4,10,PEPCK,NA
1,C2,Sample,NA,1,4,30,PEPCK,NA
1,C3,SBC,NA,1,4,NA,PEPCK,10
1,C4,Sample,NA,1,5,10,PEPCK,NA
1,C5,Sample,NA,1,5,30,PEPCK,NA
1,C6,SBC,NA,1,5,NA,PEPCK,10
1,C7,Sample,NA,1,6,10,PEPCK,NA
1,C8,Sample,NA,1,6,30,PEPCK,NA
1,C9,SBC,NA,1,6,NA,PEPCK,10
1,C10,Sample,NA,1,7,10,PEPCK,NA
1,C11,Sample,NA,1,7,30,PEPCK,NA
1,C12,SBC,NA,1,7,NA,PEPCK,10
1,D1,Sample,NA,1,8,10,PEPCK,NA
1,D2,Sample,NA,1,8,30,PEPCK,NA
1,D3,SBC,NA,1,8,NA,PEPCK,10
1,D4,Sample,NA,1,9,10,PEPCK,NA
1,D5,Sample,NA,1,9,30,PEPCK,NA
1,D6,SBC,NA,1,9,NA,PEPCK,10
1,D7,Sample,NA,1,10,10,PEPCK,NA
1,D8,Sample,NA,1,10,30,PEPCK,NA
1,D9,SBC,NA,1,10,NA,PEPCK,10
1,D10,Sample,NA,1,11,10,PEPCK,NA
1,D11,Sample,NA,1,11,30,PEPCK,NA
1,D12,SBC,NA,1,11,NA,PEPCK,10
