"","Timepoint","Tank.Number","Treatment","meanTotalProtein_ug_mL","meanSuccinate_per_ug_protein_5xpre","meanSuccinate_per_ug_protein_10xpost","meanSuccinate_per_ug_protein_10xpost30","meanSuccinate_per_ug_protein_10xpre","Temperature"
"1",1,4,"Ambient",1778.55251683221,65.8114032758375,169.689111604809,98.7403103710023,NA,"22_t1"
"2",1,5,"Ambient",427.071618108845,211.546827248777,668.408136551441,412.205232586631,NA,"22_t1"
"3",1,6,"Ambient",575.751852650371,195.182803467008,536.310259449382,306.116391971433,NA,"22_t1"
"4",1,7,"Ambient",225.956798658456,297.488610724286,1079.62753025115,703.791813282608,NA,"22_t1"
"5",1,11,"Heated",82.7054070002744,735.144254728398,2050.69355137266,1395.56849284538,NA,"22"
"6",1,12,"Heated",959.300913582417,118.728278342952,322.610720406812,189.514437674086,NA,"22"
"7",1,13,"Heated",535.935644819203,221.327426956628,621.071196420633,342.058215536836,NA,"22"
"8",1,14,"Heated",1261.27436472852,104.952106097562,212.169538476455,137.471233948815,NA,"22"
"9",2,4,"Ambient",228.704538101973,284.135983750361,1180.15875428981,727.597828505063,NA,"22_t2"
"10",2,5,"Ambient",2129.36415890061,43.962218386687,135.692250430649,79.3130020479192,NA,"22_t2"
"11",2,6,"Ambient",500.588063663786,225.647788729719,659.245273941424,360.290723452483,NA,"22_t2"
"12",2,7,"Ambient",1195.31131416442,96.9557849978056,284.947063685012,154.640201947479,NA,"22_t2"
"13",2,11,"Heated",796.824137830949,160.197366313712,386.845332325252,228.750863096739,NA,"26"
"14",2,12,"Heated",701.623866336631,198.53358854889,439.491020385548,258.540146583458,NA,"26"
"15",2,13,"Heated",450.799473746915,242.522510728148,650.621562300144,403.484401195742,NA,"26"
"16",2,14,"Heated",116.418370672398,368.308832564415,1181.34653867228,826.4129913705,NA,"26"
"17",3,4,"Ambient",987.577191873645,118.037328351792,324.55563950169,180.903936606418,NA,"22_t3"
"18",3,5,"Ambient",750.262525940377,152.73020902756,421.483531597794,247.198429511692,NA,"22_t3"
"19",3,6,"Ambient",658.839750635013,175.397467074365,429.73916963512,270.941237181505,NA,"22_t3"
"20",3,7,"Ambient",822.645649220543,141.528577807021,394.372628050167,223.44776463407,NA,"22_t3"
"21",3,11,"Heated",1091.5713862038,103.460689443334,277.137123830251,165.263340190962,NA,"30"
"22",3,12,"Heated",553.05204826082,126.150683395477,460.516376078911,322.423325890741,NA,"30"
"23",3,13,"Heated",1080.25660295055,122.72965282034,291.254187321722,162.859605745487,NA,"30"
"24",3,14,"Heated",1033.43051269831,110.727856147066,281.286818846364,174.116834333477,NA,"30"
