"","Plate","Tank.Number","Temperature.Number","Abs_562nm","Unique_ID","Abs_562nm_cor","TotalProtein_ug_mL","TotalProtein_ug"
"1",1,7,3,1.4179,"Plate1_Tank7_Temperature3",1.3067,1158.70768823389,28.9676922058472
"2",1,4,5,0.8043,"Plate1_Tank4_Temperature5",0.6931,572.878570580613,14.3219642645153
"3",1,4,5,0.811,"Plate1_Tank4_Temperature5",0.6998,578.886227103903,14.4721556775976
"4",1,5,1,0.6603,"Plate1_Tank5_Temperature1",0.5491,445.54016523522,11.1385041308805
"5",1,5,1,0.6854,"Plate1_Tank5_Temperature1",0.5742,467.496564324531,11.6874141081133
"6",1,7,3,1.462,"Plate1_Tank7_Temperature3",1.3508,1204.00523824413,30.1001309561031
"7",1,6,1,1.0322,"Plate1_Tank6_Temperature1",0.921,781.67040737111,19.5417601842777
"8",1,11,1,0.4733,"Plate1_Tank11_Temperature1",0.3621,284.960555714086,7.12401389285215
"9",1,5,2,3.0444,"Plate1_Tank5_Temperature2",2.9332,3445.24541430305,86.1311353575764
"10",1,5,2,2.9751,"Plate1_Tank5_Temperature2",2.8639,3295.04577582138,82.3761443955344
"11",1,6,1,1.0699,"Plate1_Tank6_Temperature1",0.9587,817.138092362202,20.428452309055
"12",1,4,3,1.2613,"Plate1_Tank4_Temperature3",1.1501,1001.67355087637,25.0418387719091
"13",1,4,3,1.2354,"Plate1_Tank4_Temperature3",1.1242,976.246079823503,24.4061519955876
"14",1,11,2,0.976,"Plate1_Tank11_Temperature2",0.8648,729.304431704058,18.2326107926014
"15",1,11,2,0.9463,"Plate1_Tank11_Temperature2",0.8351,701.869277132249,17.5467319283062
"16",1,12,5,0.6451,"Plate1_Tank12_Temperature5",0.5339,432.291595830048,10.8072898957512
"17",1,12,5,0.6389,"Plate1_Tank12_Temperature5",0.5277,426.897828347342,10.6724457086836
"18",1,11,1,0.4827,"Plate1_Tank11_Temperature1",0.3715,292.910561481781,7.32276403704452
"19",1,13,2,0.8256,"Plate1_Tank13_Temperature2",0.7144,592.003857948506,14.8000964487126
"20",1,6,5,2.2742,"Plate1_Tank6_Temperature5",2.163,2151.24873804199,53.7812184510498
"21",1,5,3,0.8725,"Plate1_Tank5_Temperature3",0.7613,634.389299748242,15.8597324937061
"22",1,5,3,0.8708,"Plate1_Tank5_Temperature3",0.7596,632.846276779106,15.8211569194776
"23",1,13,2,0.7524,"Plate1_Tank13_Temperature2",0.6412,526.595548822958,13.1648887205739
